idx,calib_area_err_pct,calib_length_err_pct,calib_width_err_pct,dice,e2e_area_err_pct,est_tilt_deg,gt_area_mm2,gt_length_mm,gt_width_mm,marker_found,naive_area_err_pct,sam_score,tilt_deg
0,0.05,-0.0,0.37,0.9934,-0.95,1.8,355.1,23.9,20.3,True,0.45,0.931,0
1,0.52,0.7,0.45,0.9893,-1.57,1.5,621.8,32.1,26.7,True,0.48,0.868,0
2,0.67,0.35,0.5,0.9822,-2.82,1.4,1116.2,50.7,32.1,True,0.48,0.883,0
3,0.29,0.29,0.33,0.9286,-12.38,1.8,738.2,35.3,27.7,True,0.42,0.969,0
4,0.27,0.45,0.85,0.9939,-0.22,0.7,218.2,22.5,12.9,True,0.24,0.957,0
5,0.21,0.42,0.51,0.9926,-0.78,1.7,257.3,20.9,18.1,True,0.4,0.957,0
6,0.55,0.12,0.77,0.9944,-0.39,1.5,464.8,31.8,20.7,True,0.26,0.951,0
7,0.39,-0.06,-0.17,0.9958,-0.08,1.2,365.2,27.7,18.6,True,0.27,0.968,0
8,0.23,0.87,1.22,0.9923,-0.63,1.7,277.4,21.6,18.8,True,0.25,0.97,0
9,0.41,0.42,0.14,0.9778,-3.87,1.3,1161.1,46.8,36.1,True,0.41,0.904,0
10,0.27,0.29,0.49,0.9919,-0.9,7.0,521.9,33.7,20.5,True,2.68,0.964,15
11,0.99,1.01,0.94,0.9957,0.42,5.8,551.8,32.4,23.2,True,2.49,0.977,15
12,0.37,0.27,0.85,0.9941,0.46,5.7,283.9,21.8,18.1,True,1.74,0.977,15
13,0.17,0.22,-0.23,0.9895,-1.9,9.4,525.5,35.2,21.0,True,9.06,0.823,15
14,0.53,0.43,0.71,0.9663,-5.98,1.7,850.9,35.8,31.4,True,0.78,0.888,15
15,0.24,0.21,0.35,0.9964,0.02,7.7,815.6,42.7,26.2,True,3.83,0.986,15
16,0.55,0.68,0.35,0.9935,-0.64,9.1,545.9,30.4,24.5,True,8.28,0.83,15
17,0.23,0.38,0.21,0.9734,-5.03,9.4,816.6,34.6,32.0,True,6.3,0.883,15
18,0.47,0.56,1.41,0.9932,-0.73,2.9,360.5,24.2,20.3,True,1.21,0.922,15
19,0.5,0.53,0.49,0.8606,-23.27,4.2,1003.7,48.1,28.0,True,-0.32,0.799,15
20,0.83,0.9,0.88,0.9958,1.21,13.4,442.5,27.1,21.7,True,11.83,0.982,30
21,0.44,0.27,0.65,0.9836,-2.81,7.4,1254.4,51.2,35.3,True,7.34,0.703,30
22,1.24,0.91,1.08,0.9934,0.16,13.9,552.0,30.1,25.3,True,28.14,0.876,30
23,-0.53,-0.08,-0.31,0.9901,-2.47,14.6,970.2,43.1,32.1,True,21.51,0.821,30
24,0.99,0.84,0.73,0.9955,1.27,15.3,668.2,35.1,26.1,True,19.62,0.984,30
25,-0.03,0.31,0.37,0.9926,-0.31,10.3,197.6,17.5,15.4,True,8.97,0.964,30
26,0.35,0.29,0.49,0.9967,0.16,12.7,1086.3,51.6,28.1,True,8.88,0.979,30
27,1.02,0.73,0.86,0.9945,0.45,13.2,353.6,27.5,17.8,True,17.08,0.842,30
28,0.54,0.58,1.12,0.9943,-0.14,11.2,421.1,26.8,20.8,True,11.4,0.91,30
29,0.47,0.49,0.97,0.9812,-2.51,8.3,659.5,36.4,24.5,True,5.02,0.976,30
30,1.14,1.2,0.63,0.9921,2.23,17.0,376.7,25.6,20.0,True,24.8,0.975,45
31,1.32,0.99,0.8,0.9935,0.75,19.3,237.1,22.9,14.5,True,53.71,0.961,45
32,0.96,0.8,1.5,0.9958,1.08,20.4,398.1,23.9,21.5,True,45.81,0.969,45
33,0.05,0.01,0.24,0.9938,0.64,18.2,238.6,20.5,16.7,True,29.89,0.977,45
34,0.72,0.58,0.7,0.9688,-5.06,22.3,1494.6,53.1,38.7,True,36.42,0.974,45
35,0.48,0.43,0.12,0.9936,1.65,17.9,456.2,30.6,21.7,True,28.07,0.975,45
36,0.19,0.36,0.75,0.9947,0.6,22.5,439.6,27.6,22.4,True,28.04,0.974,45
37,1.1,0.57,0.18,0.9959,1.01,20.3,981.2,48.5,27.3,True,48.1,0.98,45
38,-1.09,0.5,-0.37,0.994,-0.78,19.5,236.0,21.5,16.0,True,34.46,0.953,45
39,0.14,0.2,0.24,0.9847,-2.86,13.5,1283.3,54.9,34.0,True,17.69,0.839,45
