image,component,n_components,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0781.png,0,1,812,0.696,0.8869,0.7967,0.886,0.7954,0.8057,0.86
0796.png,0,1,8163,0.944,0.9869,0.9742,0.987,0.9743,0.9149,0.83
0798.png,0,1,812,0.796,0.7538,0.6049,0.7571,0.6091,0.7042,0.87
0802.png,0,1,1894,0.877,0.9437,0.8934,0.9442,0.8943,0.8042,0.86
0806.png,0,1,7308,0.948,0.9796,0.9601,0.9797,0.9602,0.8881,0.91
0809.png,0,1,2159,0.897,0.974,0.9493,0.9735,0.9483,0.7443,0.89
0813.png,0,1,570,0.902,0.9311,0.8711,0.9319,0.8725,0.9226,0.88
0816.png,0,1,20,0.587,0.5714,0.4,0.4,0.25,0.0,0.87
0820.png,0,1,12943,0.864,0.9152,0.8437,0.9156,0.8444,0.8307,0.88
0824.png,0,1,1322,0.842,0.9398,0.8864,0.9401,0.887,0.8575,0.88
0830.png,0,2,292,0.851,0.9162,0.8454,0.9178,0.8481,0.8571,0.91
0830.png,1,2,133,0.752,0.807,0.6765,0.8028,0.6706,0.6897,0.04
0833.png,0,1,1806,0.899,0.9471,0.8994,0.9476,0.9004,0.8583,0.91
0834.png,0,1,727,0.879,0.9204,0.8526,0.9216,0.8547,0.8485,0.86
0835.png,0,1,2012,0.914,0.9333,0.8749,0.9335,0.8753,0.8776,0.86
0842.png,0,2,97,0.79,0.7791,0.6381,0.7765,0.6346,0.6622,0.9
0842.png,1,2,1177,0.883,0.9007,0.8194,0.8997,0.8177,0.8698,0.04
0847.png,0,1,4830,0.942,0.9753,0.9519,0.9755,0.9522,0.9688,0.9
0849.png,0,1,545,0.857,0.9349,0.8777,0.9339,0.8759,0.8889,0.87
0865.png,0,1,1436,0.896,0.923,0.857,0.9234,0.8576,0.8387,0.91
0867.png,0,1,80,0.809,0.8743,0.7766,0.8675,0.766,0.8299,0.89
0874.png,0,1,18853,0.878,0.935,0.8779,0.9373,0.882,0.8864,0.94
0880.png,0,2,1663,0.928,0.9624,0.9276,0.9624,0.9276,0.8845,0.94
0880.png,1,2,641,0.843,0.9269,0.8638,0.9253,0.8609,0.8712,0.04
0881.png,0,2,786,0.804,0.8945,0.8091,0.8959,0.8114,0.8629,0.93
0881.png,1,2,242,0.852,0.8741,0.7764,0.8736,0.7755,0.7778,0.04
0887.png,0,1,11779,0.935,0.9258,0.8618,0.9258,0.8618,0.8833,0.9
0900.png,0,2,5671,0.91,0.9138,0.8413,0.919,0.8502,0.8783,0.93
0900.png,1,2,294,0.611,0.7843,0.6451,0.7854,0.6466,0.807,0.04
0901.png,0,1,6260,0.907,0.9813,0.9633,0.9812,0.9632,0.959,0.89
0904.png,0,1,50,0.837,0.7805,0.64,0.7934,0.6575,0.8288,0.9
0905.png,0,1,494,0.864,0.9077,0.831,0.9094,0.8339,0.8597,0.89
0906.png,0,1,172,0.858,0.9086,0.8325,0.9086,0.8325,0.8616,0.97
0922.png,0,1,617,0.863,0.9596,0.9224,0.958,0.9193,0.8885,0.96
0937.png,0,2,886,0.728,0.9491,0.9031,0.949,0.9029,0.8681,0.93
0937.png,1,2,451,0.748,0.835,0.7167,0.8379,0.721,0.8993,0.05
0940.png,0,2,12305,0.917,0.9437,0.8934,0.9437,0.8934,0.9137,1.03
0940.png,1,2,660,0.793,0.8803,0.7862,0.8794,0.7848,0.6908,0.04
0946.png,0,1,1895,0.819,0.9076,0.8308,0.907,0.8297,0.7873,0.96
0947.png,0,1,19795,0.927,0.9638,0.9302,0.9638,0.9301,0.9725,0.98
0948.png,0,1,840,0.858,0.9321,0.8729,0.9327,0.8739,0.865,0.98
0949.png,0,1,925,0.848,0.9109,0.8365,0.9109,0.8365,0.8679,0.96
0954.png,0,1,1477,0.868,0.9294,0.8682,0.9294,0.8682,0.7809,0.96
0955.png,0,1,137,0.715,0.8016,0.6689,0.7968,0.6623,0.733,0.94
0958.png,0,1,382,0.86,0.9294,0.8682,0.9294,0.8682,0.9173,0.94
0961.png,0,1,735,0.867,0.9226,0.8564,0.9219,0.8551,0.8361,0.94
0964.png,0,3,2293,0.915,0.9715,0.9446,0.9713,0.9442,0.9039,0.95
0964.png,1,3,138,0.811,0.8841,0.7922,0.8832,0.7908,0.8889,0.04
0964.png,2,3,280,0.478,0.883,0.7905,0.8869,0.7968,0.8818,0.05
0971.png,0,2,2706,0.953,0.9832,0.967,0.9834,0.9674,0.9672,0.96
0971.png,1,2,924,0.88,0.9701,0.942,0.9712,0.9439,0.911,0.05
0973.png,0,1,857,0.799,0.8845,0.7929,0.8895,0.801,0.7952,0.97
0974.png,0,5,5172,0.823,0.9608,0.9246,0.9608,0.9246,0.837,0.96
0974.png,1,5,2078,0.864,0.9642,0.9308,0.9639,0.9304,0.859,0.04
0974.png,2,5,1799,0.92,0.9645,0.9313,0.9644,0.9313,0.842,0.04
0974.png,3,5,657,0.793,0.9304,0.8699,0.9287,0.8669,0.7545,0.04
0974.png,4,5,74,0.585,0.5347,0.3649,0.4898,0.3243,0.4421,0.05
0976.png,0,1,1374,0.9,0.9169,0.8465,0.9164,0.8458,0.8364,0.94
0979.png,0,1,570,0.822,0.871,0.7715,0.871,0.7715,0.8833,1.0
0985.png,0,3,3446,0.876,0.9556,0.9149,0.9551,0.9141,0.8319,0.99
0985.png,1,3,4064,0.927,0.9527,0.9096,0.9527,0.9096,0.8976,0.04
0985.png,2,3,705,0.857,0.9313,0.8715,0.9319,0.8725,0.8767,0.04
1003.png,0,1,973,0.888,0.9617,0.9263,0.9627,0.9281,0.8785,0.91
1009.png,0,2,157,0.882,0.8293,0.7083,0.8322,0.7126,0.7865,0.95
1009.png,1,2,2454,0.868,0.9296,0.8684,0.9294,0.868,0.843,0.04
