image,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0566.png,1649,0.94,0.9464,0.8982,0.9461,0.8976,0.9484,0.99
0571.png,438,0.928,0.7677,0.623,0.7684,0.6239,0.7818,1.01
0577.png,1709,0.946,0.9463,0.898,0.9463,0.898,0.9571,1.02
0580.png,86,0.907,0.71,0.5503,0.7043,0.5436,0.7349,1.0
0582.png,2814,0.476,0.1581,0.0858,0.0896,0.0469,0.8899,1.03
0588.png,222,0.893,0.7231,0.5663,0.7243,0.5678,0.8571,1.02
0591.png,1540,0.871,0.6083,0.4371,0.6089,0.4377,0.731,1.05
0603.png,10863,0.679,0.4343,0.2774,0.4354,0.2783,0.6853,0.96
0604.png,3883,0.922,0.8838,0.7918,0.8216,0.6973,0.8342,0.93
0607.png,5292,0.96,0.964,0.9306,0.9643,0.9311,0.9585,0.95
0612.png,155,0.933,0.7866,0.6483,0.7866,0.6483,0.8182,0.91
0615.png,6170,0.939,0.958,0.9195,0.958,0.9195,0.961,0.9
0616.png,14865,0.945,0.9354,0.8786,0.9418,0.8899,0.9332,0.99
0627.png,3512,0.969,0.9848,0.97,0.9849,0.9702,0.98,0.93
0638.png,338,0.928,0.8144,0.687,0.8175,0.6913,0.88,0.92
0642.png,5019,0.967,0.9811,0.9629,0.9811,0.9629,0.9805,0.9
0644.png,804,0.957,0.9639,0.9303,0.9645,0.9314,0.9691,0.93
0647.png,739,0.935,0.9029,0.8231,0.9029,0.8231,0.9163,0.92
0651.png,4302,0.934,0.9008,0.8194,0.9033,0.8237,0.9707,0.91
0652.png,288,0.915,0.9137,0.8412,0.9137,0.8412,0.9404,0.93
0657.png,5543,0.96,0.9733,0.9479,0.9732,0.9478,0.9709,0.89
0674.png,10670,0.619,0.3186,0.1895,0.3575,0.2176,0.4235,0.92
0679.png,1009,0.86,0.8511,0.7408,0.8528,0.7433,0.81,0.91
0682.png,2519,0.949,0.9425,0.8913,0.9427,0.8917,0.9464,0.91
0706.png,12780,0.933,0.3526,0.2141,0.3548,0.2157,0.3876,0.9
0712.png,1275,0.636,0.451,0.2912,0.509,0.3414,0.8234,0.92
0715.png,209,0.927,0.8672,0.7656,0.8672,0.7656,0.9028,0.94
0717.png,2221,0.903,0.8523,0.7426,0.8526,0.7431,0.8864,0.98
0721.png,1005,0.879,0.9093,0.8336,0.9093,0.8336,0.9271,1.01
0728.png,912,0.907,0.7368,0.5832,0.7368,0.5832,0.8305,1.01
0729.png,7038,0.914,0.8135,0.6857,0.8148,0.6875,0.9434,0.98
0730.png,47,0.875,0.5434,0.373,0.5529,0.3821,0.5641,0.97
0738.png,1082,0.743,0.2682,0.1548,0.2638,0.1519,0.2873,0.98
0745.png,8759,0.964,0.9834,0.9673,0.9834,0.9673,0.9859,1.04
0757.png,541,0.942,0.9453,0.8962,0.9461,0.8977,0.9448,0.98
0763.png,15821,0.934,0.9609,0.9248,0.9609,0.9248,0.9476,0.96
0781.png,812,0.844,0.8339,0.7152,0.8361,0.7183,0.8807,0.96
0796.png,8163,0.967,0.9875,0.9754,0.9876,0.9755,0.9874,1.04
0798.png,812,0.884,0.813,0.6849,0.8123,0.6839,0.7595,1.01
