image,component,n_components,gt_px,sam_score,dice_raw,iou_raw,dice_post,iou_post,dice_tightbox,secs
0604.png,1,3,450,0.906,0.8163,0.6897,0.8163,0.6897,0.7922,0.05
0604.png,2,3,295,0.871,0.8801,0.786,0.8788,0.7838,0.8588,0.05
0607.png,0,1,5292,0.961,0.9634,0.9293,0.9641,0.9307,0.9585,0.94
0612.png,0,1,155,0.933,0.7866,0.6483,0.7866,0.6483,0.8182,0.95
0615.png,0,1,6170,0.939,0.9591,0.9214,0.9592,0.9215,0.961,0.96
0616.png,0,1,14865,0.947,0.9316,0.872,0.9356,0.8789,0.9332,0.9
0627.png,0,1,3512,0.962,0.985,0.9704,0.985,0.9704,0.98,0.94
0638.png,0,1,338,0.931,0.7828,0.6431,0.7838,0.6444,0.88,0.91
0642.png,0,1,5019,0.959,0.9832,0.9669,0.9834,0.9673,0.9805,0.92
0644.png,0,1,804,0.956,0.9657,0.9337,0.9663,0.9348,0.9691,0.91
0647.png,0,1,739,0.934,0.8995,0.8173,0.8995,0.8173,0.9163,0.96
0651.png,0,1,4302,0.934,0.8889,0.8,0.8892,0.8005,0.9707,1.02
0652.png,0,1,288,0.911,0.9025,0.8223,0.9025,0.8223,0.9404,1.01
0657.png,0,1,5543,0.96,0.9735,0.9484,0.9735,0.9483,0.9709,0.95
0674.png,0,4,6302,0.967,0.9537,0.9116,0.9538,0.9117,0.9523,0.9
0674.png,1,4,2051,0.942,0.948,0.9011,0.9479,0.901,0.9472,0.05
0674.png,2,4,1821,0.967,0.8587,0.7524,0.8583,0.7518,0.8603,0.04
0674.png,3,4,467,0.919,0.7023,0.5411,0.7028,0.5418,0.7792,0.04
0679.png,0,1,1009,0.868,0.8974,0.814,0.8987,0.8161,0.81,0.9
0682.png,0,1,2519,0.953,0.9427,0.8917,0.9429,0.892,0.9464,0.88
0706.png,0,4,493,0.938,0.7917,0.6552,0.7917,0.6552,0.7845,0.9
0706.png,1,4,7950,0.956,0.9628,0.9282,0.9627,0.9281,0.9578,0.04
0706.png,2,4,2229,0.964,0.9352,0.8784,0.935,0.8779,0.9334,0.04
0706.png,3,4,2108,0.88,0.8397,0.7237,0.8399,0.724,0.8319,0.04
0712.png,0,2,1147,0.937,0.9685,0.9389,0.9685,0.9389,0.9666,0.88
0712.png,1,2,128,0.893,0.6863,0.5224,0.6863,0.5224,0.7781,0.04
0715.png,0,1,209,0.929,0.8601,0.7545,0.8601,0.7545,0.9028,0.92
0717.png,0,1,2221,0.904,0.8591,0.7531,0.8589,0.7527,0.8864,0.91
0721.png,0,1,1005,0.876,0.8927,0.8062,0.902,0.8215,0.9271,0.97
0728.png,0,1,912,0.886,0.7407,0.5882,0.7407,0.5882,0.8305,0.98
0729.png,0,1,7038,0.922,0.7955,0.6605,0.7969,0.6624,0.9434,1.03
0730.png,0,1,47,0.866,0.5562,0.3852,0.5629,0.3917,0.5641,0.94
0738.png,0,2,91,0.717,0.484,0.3193,0.4866,0.3216,0.6473,0.97
0738.png,1,2,991,0.934,0.8426,0.7279,0.844,0.7301,0.8871,0.04
0745.png,0,1,8759,0.964,0.9835,0.9676,0.9835,0.9676,0.9859,0.97
0757.png,0,1,541,0.941,0.9436,0.8933,0.9445,0.8948,0.9448,0.93
0763.png,0,1,15821,0.941,0.9633,0.9292,0.9633,0.9291,0.9476,0.91
0781.png,0,1,812,0.854,0.837,0.7198,0.8373,0.7201,0.8807,0.91
0796.png,0,1,8163,0.966,0.9876,0.9754,0.9876,0.9756,0.9874,0.9
0798.png,0,1,812,0.885,0.8081,0.678,0.8089,0.6791,0.7595,0.9
0802.png,0,1,1894,0.926,0.9208,0.8532,0.9208,0.8532,0.9304,0.93
0806.png,0,1,7308,0.968,0.983,0.9666,0.983,0.9666,0.9853,0.91
0809.png,0,1,2159,0.936,0.903,0.8232,0.9073,0.8303,0.9712,0.91
0813.png,0,1,570,0.924,0.9363,0.8803,0.9371,0.8817,0.9455,0.93
0816.png,0,1,20,0.7,0.7442,0.5926,0.75,0.6,0.75,1.02
0820.png,0,1,12943,0.837,0.6534,0.4853,0.6565,0.4886,0.8601,1.01
0824.png,0,1,1322,0.935,0.8165,0.6899,0.8198,0.6947,0.8573,1.0
0830.png,0,2,292,0.929,0.8614,0.7565,0.8627,0.7585,0.9008,0.99
0830.png,1,2,133,0.912,0.6875,0.5238,0.6893,0.5259,0.7414,0.04
0833.png,0,1,1806,0.945,0.9198,0.8515,0.9198,0.8515,0.9376,0.96
0834.png,0,1,727,0.93,0.9047,0.8259,0.9058,0.8279,0.9118,0.98
0835.png,0,1,2012,0.932,0.8372,0.7199,0.8384,0.7217,0.9004,0.96
0842.png,0,2,97,0.889,0.7833,0.6438,0.7833,0.6438,0.8257,0.94
0842.png,1,2,1177,0.901,0.8238,0.7004,0.8241,0.7008,0.9029,0.04
0847.png,0,1,4830,0.97,0.9718,0.9451,0.9716,0.9447,0.9731,0.95
0849.png,0,1,545,0.938,0.9632,0.9291,0.9632,0.9291,0.9656,0.98
0865.png,0,1,1436,0.933,0.9442,0.8942,0.9442,0.8942,0.9413,1.05
0867.png,0,1,80,0.918,0.7656,0.6202,0.7729,0.6299,0.8247,1.03
0874.png,0,1,18853,0.929,0.8406,0.725,0.841,0.7256,0.9533,1.01
0880.png,0,2,1663,0.949,0.9581,0.9196,0.9584,0.9202,0.9639,1.01
0880.png,1,2,641,0.919,0.7527,0.6034,0.7585,0.6109,0.8986,0.05
0881.png,0,2,786,0.886,0.729,0.5735,0.7293,0.5739,0.8586,1.05
0881.png,1,2,242,0.902,0.8163,0.6897,0.8177,0.6916,0.8994,0.05
0887.png,0,1,11779,0.956,0.9571,0.9178,0.9571,0.9178,0.9511,1.03
0900.png,0,2,5671,0.779,0.8668,0.7649,0.8726,0.7739,0.8689,1.03
0900.png,1,2,294,0.825,0.7418,0.5896,0.7411,0.5887,0.7801,0.05
0901.png,0,1,6260,0.972,0.9825,0.9657,0.9825,0.9657,0.9808,1.0
